ID,Species,Group,Category,Provenance,Time,Ecology,PP,PP_marine,PP_trif,PP_alaska,Reference,Mean_EAA,val_norm,ile_norm,leu_norm,phe_norm,lys_norm,Check,val-phe,ala_d13C,ala_d13C_sd,asx_d13C,asx_d13C_sd,glx_d13C,glx_d13C_sd,gly_d13C,gly_d13C_sd,his_d13C,his_d13C_sd,met_d13C,met_d13C_sd,val_d13C,val_d13C_sd,leu_d13C,leu_d13C_sd,ile_d13C,ile_d13C_sd,thr_d13C,thr_d13C_sd,phe_d13C,phe_d13C_sd,lys_d13C,lys_d13C_sd,tyr_d13C,tyr_d13C_sd,ser_d13C,ser_d13C_sd,pro_d13C,pro_d13C_sd
CA-2018-LJ-Shores-ULV-02*,Ulva,Macroalgae,green algae,San_Diego_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-18.48,0.48,3.68,-4.62,-4.42,4.88,0,4.9,-9.3,,-8.6,,-11.7,,,,,,,,-18,0.1,-23.1,0.1,-14.8,0.1,-12.9,0.1,-22.9,0.1,-13.6,,,,,,-12.4,
CA-2018-LJ-Shores-ULV-05 (Repeat),Ulva,Macroalgae,green algae,San_Diego_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-18.9,0.3,3.9,-5,-3.4,4.2,0,3.7,-8.2,,-9.4,,-12,,,,,,,,-18.6,0.1,-23.9,0.1,-15,0.1,-7.4,0.1,-22.3,0.1,-14.7,,,,,,-11.8,
CA-2018-LJ-Shores-ULV-09,Ulva,Macroalgae,green algae,San_Diego_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-19.06,0.56,2.36,-4.84,-3.84,5.76,0,4.4,-9.3,,-8.7,,-12.8,,,,,,,,-18.5,0.1,-23.9,0.1,-16.7,0.1,-12.2,0.1,-22.9,0.1,-13.3,,,,,,-11.2,
CA-2016-TP-ULV-01,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-17.38,-1.02,4.08,-5.72,-4.42,7.08,0,3.4,-10.2,,-9.5,,-13.2,,,,,,,,-18.4,0.1,-23.1,0.1,-13.3,0.1,-7.7,0.1,-21.8,0.1,-10.3,,,,,,-14,
CA-2016-TP-ULV-02,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-21.04,0.24,6.04,-4.26,-1.56,-0.46,0,1.8,-13.3,,-12.8,,-16,,,,,,,,-20.8,0.1,-25.3,0.1,-15,0.1,-11.5,0.1,-22.6,0.1,-21.5,,,,,,-14.7,
CA-2016-TP-ULV-03,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-21.14,2.84,4.24,-6.36,-3.06,2.34,0,5.9,-11,,-11.6,,-18,,,,,,,,-18.3,0.1,-27.5,0.1,-16.9,0.1,-11.2,0.1,-24.2,0.1,-18.8,,,,,,-15.7,
CA-2016-TP-ULV-07,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-18.14,2.94,5.84,-3.16,-1.76,-3.86,0,4.7,-3.9,,-7.4,,-11.1,,,,,,,,-15.2,0.1,-21.3,0.1,-12.3,0.1,-4.9,0.1,-19.9,0.1,-22,,,,,,-8,
CA-2016-TP-ULV-08,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-16.88,4.58,4.18,-3.82,-3.62,-1.32,0,8.2,-4.3,,-5.1,,-12.9,,,,,,,,-12.3,0.1,-20.7,0.1,-12.7,0.1,-8,0.1,-20.5,0.1,-18.2,,,,,,-10.4,
CA-2016-TP-ULV-09,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-15.58,2.98,3.68,-6.22,-3.02,2.58,0,6,-3.9,,-4.2,,-9.1,,,,,,,,-12.6,0.1,-21.8,0.1,-11.9,0.1,-5.7,0.1,-18.6,0.1,-13,,,,,,-8.4,
CA-2016-TP-ULV-10,Ulva,Macroalgae,green algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-20.72,2.22,3.92,-5.58,-2.48,1.92,0,4.7,-11,,-10.6,,-18.6,,,,,,,,-18.5,0.1,-26.3,0.1,-16.8,0.1,-10.9,0.1,-23.2,0.1,-18.8,,,,,,-16.4,
C1,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-24.48,0.48,-3.22,-3.32,-0.42,6.48,0,0.9,-13.6,0.2,-12.8,0.2,-23.7,0.1,-15.3,0.6,-23.5,0.3,-23.3,0.5,-24,0.1,-27.8,0.1,-27.7,0.2,-10.4,0.1,-24.9,0.3,-18,0,-23.7,0.1,,,,
C2,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-31.22,-1.58,2.32,-4.78,-3.38,7.42,0,1.8,-22.6,0.1,-16.2,0.1,-26.3,0,-23.1,0.2,,,-23.9,0.4,-32.8,0.1,-36,0.1,-28.9,0.1,-19.5,0.6,-34.6,0.1,-23.8,0.3,-35,0.2,,,,
C3,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-18.86,-1.64,1.56,-4.44,-0.94,5.46,0,-0.7,-11.6,0.1,-12.9,1,-15.3,0,-7.3,0.2,,,,,-20.5,0.2,-23.3,0.3,-17.3,0.1,-5.9,1,-19.8,0.1,-13.4,0.2,-17.5,0.2,,,,
C4,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-21.56,-2.64,1.56,-4.24,-2.44,7.76,0,-0.2,-13.1,0.3,-12.2,0.8,-18.9,0.1,-11.3,0.2,,,,,-24.2,0.1,-25.8,0.1,-20,0.1,-10.1,0.1,-24,0.2,-13.8,0.3,-22.1,0.1,,,,
D1,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-13.64,-0.16,3.44,-3.66,-4.46,4.84,0,4.3,-9.7,0.1,-11.1,0.4,-11.4,0.1,-11.2,0.2,,,,,-13.8,0.1,-17.3,0.2,-10.2,0.1,-2.7,0.8,-18.1,0.3,-8.8,0.5,-15.7,0.1,,,,
D2,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-15.54,-1.26,4.04,-3.16,-4.06,4.44,0,2.8,-7.4,0.2,-9.1,0.3,-7.5,0,-12,0.4,,,,,-16.8,0.2,-18.7,0.1,-11.5,0.1,-2,0.9,-19.6,0.2,-11.1,0.2,-16,0.1,,,,
D3,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-18.94,-0.76,2.44,-3.16,-1.66,3.14,0,0.9,-10.3,0.1,-16.2,1,-12.2,0,-12.3,0.1,,,-15,0.2,-19.7,0.1,-22.1,0.5,-16.5,0.1,-7,1.6,-20.6,0.1,-15.8,0.2,-19.4,0.1,,,,
D4,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-20.7,-2.2,4.6,-4.8,-3.1,5.5,0,0.9,-16,0.1,-17.7,0.1,-18.9,0,-12.2,0.1,,,,,-22.9,0.1,-25.5,0.4,-16.1,0.1,-10.8,0.3,-23.8,0.1,-15.2,0.2,-21.8,0.1,,,,
D5,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-13.94,-1.56,3.54,-5.36,-2.06,5.44,0,0.5,-1.3,0.1,-6.6,1,-7.4,0.1,5.5,0.2,,,-8.2,0.4,-15.5,0.1,-19.3,0.1,-10.4,0.1,-4.6,0.5,-16,0.4,-8.5,0.2,-14.4,0.2,,,,
H1,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-21.86,-3.04,3.56,-5.34,-1.34,6.16,0,-1.7,-16.3,0,-15.6,0.1,-15.9,0.1,-13.5,0,-17.8,0.3,-17.9,0.1,-24.9,0.1,-27.2,0.1,-18.3,0.6,-9.1,0.1,-23.2,0.1,-15.7,0.1,-22.3,0,,,,
H2,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-20.64,-0.46,1.44,-3.16,-3.96,6.14,0,3.5,-13.1,0.1,-13.1,1,-19.7,0.1,-19,0.1,,,,,-21.1,0.3,-23.8,0.1,-19.2,0.2,-8.6,0.6,-24.6,0.1,-14.5,0.1,-22.6,0.1,,,,
H3,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-23.38,-3.42,5.08,-8.02,-1.62,7.98,0,-1.8,-16.4,0.1,-13.3,0.2,-16.7,0.1,-19.6,0.1,,,-19.9,0.2,-26.8,0.1,-31.4,0.1,-18.3,0.1,-8.9,0.2,-25,0.1,-15.4,0.1,-22.7,0.1,,,,
H4,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-17.34,-1.46,3.54,-3.16,-4.26,5.34,0,2.8,-11.2,0,-13.7,0.9,-15.9,0,-11.8,0.1,,,,,-18.8,0.1,-20.5,0.1,-13.8,0.1,-6.8,0.3,-21.6,0.1,-12,0.4,-19.6,0.1,,,,
K1,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-18.28,-0.92,2.48,-5.42,-1.42,5.28,0,0.5,-12.1,0.5,-13,0.7,-15.6,0.1,-7.1,0.6,,,-16.9,0.3,-19.2,0.5,-23.7,0.3,-15.8,1.3,-6.7,0.5,-19.7,0.1,-13,0.3,-16.8,0.2,,,,
K2,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-18.56,-2.04,3.26,-4.74,-2.84,6.36,0,0.8,-12.7,0.1,-12.3,0.9,-14.3,0.1,-7.9,0.1,,,-15.5,0.4,-20.6,0.1,-23.3,0.1,-15.3,0.5,-2.2,0.8,-21.4,0.1,-12.2,0,-19.4,0.1,,,,
K3,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-12.04,-0.96,1.64,-3.66,-3.86,6.84,0,2.9,-4.1,0,-5.7,0,-10,0.1,0.2,0.1,,,,,-13,0.1,-15.7,0.1,-10.4,0.1,-8.1,0.9,-15.9,0.1,-5.2,0.1,-14.2,0,,,,
K4,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-13.36,-1.94,1.96,-3.34,-2.34,5.66,0,0.4,-5.5,0.1,-7.5,0.1,-10.8,0.1,-6.6,0.1,,,,,-15.3,0.1,-16.7,0.1,-11.4,0.1,-4.2,0.3,-15.7,0.1,-7.7,0.3,-12.5,0.1,,,,
K5,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-19.2,-1.2,2.9,-4,-3,5.3,0,1.8,-13.8,0.1,-14,0.4,-17.7,0.1,-13.8,0.1,,,,,-20.4,0.1,-23.2,0.3,-16.3,0.2,-6.4,0.3,-22.2,0.1,-13.9,0.4,-20.3,0.2,,,,
K6,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-14.92,-0.98,3.52,-3.48,-3.48,4.42,0,2.5,-9.6,0.2,-13.4,0.1,-12.1,0,-10.7,0.4,,,,,-15.9,0.1,-18.4,0.1,-11.4,0.5,-7.1,0.3,-18.4,0.1,-10.5,0.3,-16.8,0.1,,,,
N1,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-24.44,-1.96,3.44,-5.26,-2.56,6.34,0,0.6,-17.4,0.1,-18.9,0,-20.3,0.1,-21.7,0.4,-19.2,0.6,-21.7,0.6,-26.4,0.5,-29.7,0.3,-21,0.1,-11,0.1,-27,0.1,-18.1,0,-24.8,0.2,,,,
N2,,Microalgae,phytoplankton,GEOMAR,modern,,Y,Y,Y,,Larsen et al. 2013,-24.38,-2.82,3.78,-4.92,-2.42,6.38,0,-0.4,-17.4,0.2,-18.2,0.1,-20.3,0.1,-21.9,0.3,-20.8,0.2,-19.2,0.6,-27.2,0.2,-29.3,0.3,-20.6,0.1,-11.2,0.1,-26.8,0.1,-18,0.2,-24.5,0.2,,,,
N3,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-24.22,-2.88,4.42,-5.18,-2.68,6.32,0,-0.2,-17.4,0.2,-17.8,0.2,-20.4,0,-21.8,0.6,-21.5,0.2,-21.2,0.4,-27.1,0.1,-29.4,0.2,-19.8,0.1,-10.7,0.1,-26.9,0.1,-17.9,0.2,-24.7,0.2,,,,
X1,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-28.92,-1.28,2.22,-6.18,-2.98,8.22,0,1.7,-17.2,0.1,-16.5,0.1,-24.5,0.3,-14.7,0.1,-25.4,0.7,-27.3,0.2,-30.2,0.1,-35.1,0.1,-26.7,0.1,-13.6,0.1,-31.9,0.1,-20.7,0.1,-29.7,0.1,,,,
X2,,Microalgae,phytoplankton,SAG,modern,,Y,Y,Y,,Larsen et al. 2013,-26.54,-1.46,3.74,-6.16,-3.46,7.34,0,2,-16,0,-17.4,0.9,-21.4,0,-14.2,0.2,,,,,-28,0.1,-32.7,0.1,-22.8,0.2,-10.7,0.8,-30,0.1,-19.2,0.1,-27.8,0.1,,,,
X3,,Microalgae,phytoplankton,Kiel fjord,modern,,Y,Y,Y,,Larsen et al. 2013,-22.06,-1.84,2.76,-3.14,-3.44,5.66,0,1.6,-16.3,0,-18.3,1.1,-18.9,0,-14.5,0.4,,,,,-23.9,0.2,-25.2,0.1,-19.3,0.1,-9.6,0.5,-25.5,0.1,-16.4,0.3,-23.3,0.1,,,,
X4,,Microalgae,phytoplankton,Kiel fjord,modern,,Y,Y,Y,,Larsen et al. 2013,-13.2,-1.2,2.1,-5,-2.9,7,0,1.7,-3.2,0.2,-6.1,0.1,-9.9,0.4,-8.2,0,,,,,-14.4,0.1,-18.2,0.1,-11.1,0.1,-1.3,0.2,-16.1,0.1,-6.2,0.2,-13,0.1,,,,
Y1,,Microalgae,phytoplankton,Kiel fjord,modern,,Y,Y,Y,,Larsen et al. 2013,-15.82,-1.28,4.02,-3.48,-3.68,4.42,0,2.4,-11.1,0.1,-12.2,0.1,-15.9,0.1,-11.8,0.1,,,,,-17.1,0.1,-19.3,0.3,-11.8,0.5,-4.2,0.3,-19.5,0.1,-11.4,0.2,-17,0.1,,,,
EES-SCRIPPS-AMPHORA-18,Amphora,Microalgae,phytoplankton,Scripps,modern,Cultured,Y,Y,Y,,Elliot-Smith et al. 2022,-23.84,-1.66,6.84,-4.46,-3.26,2.54,0,1.6,-15.5,,-14.6,,-14.5,,,,,,,,-25.5,0.1,-28.3,0.1,-17,0.1,-12.6,0.1,-27.1,0.1,-21.3,,,,-7.5,,-14.6,
EES-SCRIPPS-CHAETOCEROS-18,Chaetoceros,Microalgae,phytoplankton,Scripps,modern,Cultured,Y,Y,Y,,Elliot-Smith et al. 2022,-25.2,-2.9,7.6,-4.6,-5.8,5.7,0,2.9,-20.6,,-17.5,,-20.3,,,,,,,,-28.1,0.1,-29.8,0.1,-17.6,0.1,-12.6,0.1,-31,0.1,-19.5,,,,-13.9,,-21,
EES-SCRIPPS-NODULARIA-18,Nodularia,Microalgae,phytoplankton,Scripps,modern,Cultured,Y,Y,Y,,Elliot-Smith et al. 2022,-20.62,-1.18,1.32,-5.58,-3.78,9.22,0,2.6,-12.1,,-6.5,,-15.7,,,,,,,,-21.8,0.1,-26.2,0.1,-19.3,0.1,-11.3,0.1,-24.4,0.1,-11.4,,,,-0.8,,-15.3,
EES-SCRIPPS-PHAEODUCTILLIUM-18,Phaeodactylum,Microalgae,phytoplankton,Scripps,modern,Cultured,Y,Y,Y,,Elliot-Smith et al. 2022,-20.22,-0.88,6.32,-5.68,-3.38,3.62,0,2.5,-13.2,,-8.3,,-12.3,,,,,,,,-21.1,0.1,-25.9,0.1,-13.9,0.1,-7.3,0.1,-23.6,0.1,-16.6,,,,-4.6,,-8.6,
EES-SCRIPPS-PLEUROCHRYSIS-18,Pleurochrysis,Microalgae,phytoplankton,Scripps,modern,Cultured,Y,Y,Y,,Elliot-Smith et al. 2022,-19.7,-3.2,8,-8,-2.5,5.7,0,-0.7,-13.4,,-6.8,,-13.1,,,,,,,,-22.9,0.1,-27.7,0.1,-11.7,0.1,1.5,0.1,-22.2,0.1,-14,,,,1.5,,-14.7,
EES-SCRIPPS-PORPHYRIDIUM-18,Porphyridium,Microalgae,phytoplankton,Scripps,modern,Cultured,Y,Y,Y,,Elliot-Smith et al. 2022,-24.84,-1.66,5.94,-7.86,-3.66,7.24,0,2,-15.3,,-9.4,,-19.6,,,,,,,,-26.5,0.1,-32.7,0.1,-18.9,0.1,-8.5,0.1,-28.5,0.1,-17.6,,,,-10.1,,-22.5,
R1,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-17.36,-1.84,0.06,-2.84,-1.84,6.46,0,0,-9,0.1,-10.9,0.1,-14.3,0.1,-4.2,0.1,-12.5,0.3,-15.3,0.1,-19.2,0.1,-20.2,0.1,-17.3,0.5,-6.4,0.2,-19.2,0.1,-10.9,0.1,-18.9,0.1,,,,
R2,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-17.98,-3.32,2.58,-1.52,-2.72,4.98,0,-0.6,-13.3,0.2,-11.3,0.6,-16.2,0,-10.3,0.3,,,,,-21.3,0.3,-19.5,0.2,-15.4,0.3,-4.8,0.6,-20.7,0.1,-13,0.2,-20,0.1,,,,
R3,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-22.92,-2.48,1.22,-2.88,-2.38,6.52,0,-0.1,-17.3,0.2,-16.4,0.1,-18.6,0.1,-14.7,0.1,-19.4,0,,,-25.4,0.2,-25.8,0.3,-21.7,0.3,-9.2,0.2,-25.3,0.1,-16.4,0.2,-23,0.1,,,,
R4,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-19.46,-0.34,2.46,-2.44,-4.24,4.56,0,3.9,-13.4,0.1,-11.1,0.2,-13.8,0,-16.4,0.1,-12.9,0.2,-21.6,0.2,-19.8,0.1,-21.9,0.4,-17,0.1,-11,1.1,-23.7,0.1,-14.9,0.2,-21.9,0.1,,,,
R5,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-21.22,-1.18,1.72,-1.28,-4.08,4.82,0,2.9,-15.5,0.1,-15.4,0,-17.6,0.6,-13.7,0,,,,,-22.4,0.1,-22.5,0.1,-19.5,0.1,-15.3,0.1,-25.3,0.1,-16.4,0.4,-24.2,0,,,,
R6,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-18.48,-2.22,1.98,-2.52,-2.62,5.38,0,0.4,-11.4,0.1,-11.4,0.1,-14.8,0,-9.8,0.1,-14.2,,,,-20.7,0.2,-21,0.4,-16.5,0.1,-8.7,0.1,-21.1,0.1,-13.1,0.1,-19.8,0.1,,,,
R7,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-18.02,-2.28,1.32,-2.98,-3.08,7.02,0,0.8,-12.1,0.1,-12.4,0.5,-15.4,0.1,-9.9,0,,,-15.3,0.1,-20.3,0.1,-21,0.3,-16.7,0.2,-5.9,0.3,-21.1,0.3,-11,0.1,-19.5,0.4,,,,
R8,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-20.58,-3.02,2.58,-2.92,-1.42,4.78,0,-1.6,-14.7,0.3,-14.5,0.7,-16.1,0.4,-14.5,0.1,,,-17.9,,-23.6,0.1,-23.5,0.1,-18,0.1,-7.3,1.1,-22,0.1,-15.8,0.4,-21.2,0.3,,,,
R9,,Macroalgae,red algae,California,modern,,Y,Y,Y,,Larsen et al. 2013,-20.1,-0.8,-0.3,-3.3,-2.4,6.8,0,1.6,-11.9,0.1,-13.2,0.1,-15.6,0.1,-10.7,0.1,-16.4,0.4,-17.3,0.5,-20.9,0.1,-23.4,0.1,-20.4,0.2,-6.8,1,-22.5,0.1,-13.3,0.1,-20.1,0,,,,
HUM-ISM7-CCA,Chondrus,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-27.5,0.1,1.6,-2.5,-2,2.8,0,2.1,-21.2,,-21,,-25.5,,-19.6,,,,,,-27.4,0.1,-30,0.1,-25.9,0.1,-24.4,0.1,-29.5,0.1,-24.7,,,,-24.4,,-20.9,
HUM-COL10-NN,Unknown,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-35.06,-0.04,1.96,-3.14,-0.84,2.06,0,0.8,-29,,-22.6,,-28.3,,-25.1,,,,,,-35.1,0.1,-38.2,0.1,-33.1,0.1,-28.5,0.1,-35.9,0.1,-33,,,,-29.3,,-27,
HUM-COL17-PCA,Plocamium,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-34.38,-1.52,3.08,-2.82,-1.12,2.38,0,-0.4,-27.4,,-20.5,,-31,,-26.8,,,,,,-35.9,0.1,-37.2,0.1,-31.3,0.1,-28.4,0.1,-35.5,0.1,-32,,,,-35.8,,,
HUM-COL17-PCA-B2,Plocamium,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-33.78,0.88,1.18,-3.52,-3.82,5.28,0,4.7,-37.5,,-23.1,,-29.1,,-22.7,,,,,,-32.9,0.1,-37.3,0.1,-32.6,0.1,-24.9,0.1,-37.6,0.1,-28.5,,,,-37.9,,-31.2,
