ID,Species,Group,Category,Provenance,Time,Ecology,PP,PP_marine,PP_trif,PP_alaska,Reference,Mean_EAA,val_norm,ile_norm,leu_norm,phe_norm,lys_norm,Check,val-phe,ala_d13C,ala_d13C_sd,asx_d13C,asx_d13C_sd,glx_d13C,glx_d13C_sd,gly_d13C,gly_d13C_sd,his_d13C,his_d13C_sd,met_d13C,met_d13C_sd,val_d13C,val_d13C_sd,leu_d13C,leu_d13C_sd,ile_d13C,ile_d13C_sd,thr_d13C,thr_d13C_sd,phe_d13C,phe_d13C_sd,lys_d13C,lys_d13C_sd,tyr_d13C,tyr_d13C_sd,ser_d13C,ser_d13C_sd,pro_d13C,pro_d13C_sd
HUM-ISM7-PCA,Plocamium,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-34.96,-0.24,-0.24,-2.34,-1.34,4.16,0,1.1,-27.1,,-25,,-30.9,,-24.7,,,,,,-35.2,0.1,-37.3,0.1,-35.2,0.1,-26.6,0.1,-36.3,0.1,-30.8,,,,-31.6,,-27.5,
HUM-ISM7-PCA-B2,Plocamium,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-32.18,-2.72,0.18,-4.12,0.38,6.28,0,-3.1,-20.8,,-22.7,,-26,,,,,,,,-34.9,0.1,-36.3,0.1,-32,0.1,-23.4,0.1,-31.8,0.1,-25.9,,,,-26.1,,-27.4,
CA-2018-Mia-PLO-01,Plocamium,Macroalgae,red algae,San_Diego_CA,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-35.76,0.06,0.66,-4.14,-0.64,4.06,0,0.7,-30,,-25.7,,-33.6,,,,,,,,-35.7,0.1,-39.9,0.1,-35.1,0.1,-27.4,0.1,-36.4,0.1,-31.7,,,,-28.3,,-31.1,
CA-2018-Mia-PLO-02,Plocamium,Macroalgae,red algae,San_Diego_CA,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-36.72,-0.48,1.22,-2.88,-1.88,4.02,0,1.4,-33.9,,-29.4,,-34.9,,,,,,,,-37.2,0.1,-39.6,0.1,-35.5,0.1,-25.6,0.1,-38.6,0.1,-32.7,,,,-30,,-33,
CA-2018-Mia-PLO-03 (Repeat),Plocamium,Macroalgae,red algae,San_Diego_CA,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-34.74,2.14,1.64,-2.16,-2.56,0.94,0,4.7,-26.9,,-23.7,,-30.6,,,,,,,,-32.6,0.1,-36.9,0.1,-33.1,0.1,-23.4,0.1,-37.3,0.1,-33.8,,,,-22.5,,-29.8,
CA-2018-Mia-PLO-04,Plocamium,Macroalgae,red algae,San_Diego_CA,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-37,-0.3,2,-3.1,-2.2,3.6,0,1.9,-32.7,,-27.2,,-33.1,,,,,,,,-37.3,0.1,-40.1,0.1,-35,0.1,-27.3,0.1,-39.2,0.1,-33.4,,,,-28,,-30.2,
CA-2018-Mia-PLO-06 (Repeat),Plocamium,Macroalgae,red algae,San_Diego_CA,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-36.96,-0.44,1.16,-2.74,-1.44,3.46,0,1,-32.3,,-28.6,,-34.9,,,,,,,,-37.4,0.1,-39.7,0.1,-35.8,0.1,-30.5,0.1,-38.4,0.1,-33.5,,,,-27,,-32,
CA-2018-Mia-PLO-07 (Repeat),Plocamium,Macroalgae,red algae,San_Diego_CA,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-34.7,-0.7,1.3,-3.6,-2.4,5.4,0,1.7,-29.3,,-24.3,,-31.4,,,,,,,,-35.4,0.1,-38.3,0.1,-33.4,0.1,-25.4,0.1,-37.1,0.1,-29.3,,,,-23.9,,-29.9,
KATM-AM-NEO-2012-01,Neorhodomela,Macroalgae,red algae,Katmai_NP,modern,Intertidal,Y,Y,Y,Y,Elliot-Smith et al. 2022,-25.02,-1.28,2.12,-2.28,-3.18,4.62,0,1.9,-19,,-15.8,,-20.2,,,,,,,,-26.3,0.1,-27.3,0.1,-22.9,0.1,-17,0.1,-28.2,0.1,-20.4,,,,-10.9,,-19.7,
KATM-AM-NEO-2012-02,Neorhodomela,Macroalgae,red algae,Katmai_NP,modern,Intertidal,Y,Y,Y,Y,Elliot-Smith et al. 2022,-24.68,-1.72,1.48,-1.52,-3.02,4.78,0,1.3,-18.2,,-15.9,,-19.9,,,,,,,,-26.4,0.1,-26.2,0.1,-23.2,0.1,-15.9,0.1,-27.7,0.1,-19.9,,,,-11.6,,-21.1,
KATM-AM-NEO-2012-03,Neorhodomela,Macroalgae,red algae,Katmai_NP,modern,Intertidal,Y,Y,Y,Y,Elliot-Smith et al. 2022,-24.22,-1.48,2.72,-2.28,-3.68,4.72,0,2.2,-18.4,,-14.3,,-19,,,,,,,,-25.7,0.1,-26.5,0.1,-21.5,0.1,-15.6,0.1,-27.9,0.1,-19.5,,,,-15.9,,-19.8,
KATM-AM-NEO-2012-05,Neorhodomela,Macroalgae,red algae,Katmai_NP,modern,Intertidal,Y,Y,Y,Y,Elliot-Smith et al. 2022,-22.76,-1.84,1.36,-1.24,-3.04,4.76,0,1.2,-14.1,,-10.5,,-14.5,,,,,,,,-24.6,0.1,-24,0.1,-21.4,0.1,-13,0.1,-25.8,0.1,-18,,,,-7.6,,-19.9,
CA-2016-TP-NEO-01 (Repeat),Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-18.08,-0.52,3.78,-1.42,-2.42,0.58,0,1.9,-10.1,,-13.2,,-16.9,,,,,,,,-18.6,0.1,-19.5,0.1,-14.3,0.1,-11.6,0.1,-20.5,0.1,-17.5,,,,-1.6,,-12.8,
CA-2016-TP-NEO-02 (Repeat),Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-17.66,-0.64,2.86,-1.64,-3.54,2.96,0,2.9,-10.1,,-15,,-16.8,,,,,,,,-18.3,0.1,-19.3,0.1,-14.8,0.1,-10.8,0.1,-21.2,0.1,-14.7,,,,-2,,-12.1,
CA-2016-TP-NEO-03,Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-15.4,-1.9,2.7,-1.7,-2.2,3.1,0,0.3,-10.6,,-9.3,,-12.2,,,,,,,,-17.3,0.1,-17.1,0.1,-12.7,0.1,-6.2,0.1,-17.6,0.1,-12.3,,,,-3.6,,-12.5,
CA-2016-TP-NEO-04,Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-18.96,0.56,4.16,-0.24,-3.54,-0.94,0,4.1,-7.2,,-13,,-14.1,,,,,,,,-18.4,0.1,-19.2,0.1,-14.8,0.1,-6.8,0.1,-22.5,0.1,-19.9,,,,-0.2,,-13.9,
CA-2016-TP-NEO-06,Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-19.4,0.6,1.4,-1.9,-2.2,2.1,0,2.8,-13.7,,-13.5,,-18.2,,,,,,,,-18.8,0.1,-21.3,0.1,-18,0.1,-12.6,0.1,-21.6,0.1,-17.3,,,,,,-14.3,
CA-2016-TP-NEO-07,Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-19.72,0.02,3.52,-1.28,-2.88,0.62,0,2.9,-10.2,,-15.3,,-15.5,,,,,,,,-19.7,0.1,-21,0.1,-16.2,0.1,-11.8,0.1,-22.6,0.1,-19.1,,,,,,-15.9,
CA-2016-TP-NEO-08,Neorhodomela,Macroalgae,red algae,Santa_Cruz_CA,modern,Intertidal,Y,Y,Y,,Elliot-Smith et al. 2022,-18.54,-1.46,2.34,-1.76,-3.66,4.54,0,2.2,-11.6,,-12.1,,-17.1,,,,,,,,-20,0.1,-20.3,0.1,-16.2,0.1,-11.3,0.1,-22.2,0.1,-14,,,,,,-15.6,
HUM-COL17-RCO-B2,Rhodymenia,Macroalgae,red algae,Antofagasta_Chile,modern,Subtidal,Y,Y,Y,,Elliot-Smith et al. 2022,-35,-0.7,-0.1,-3.4,-1.3,5.5,0,0.6,-25.5,,-27.4,,-29.7,,,,,,,,-35.7,0.1,-38.4,0.1,-35.1,0.1,-28.5,0.1,-36.3,0.1,-29.5,,,,,,-31.3,
S1,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-14.86,-2.44,0.96,-4.64,0.76,5.36,0,-3.2,-11.4,0.1,-10.1,0.2,-12.7,0.3,-6.5,0.1,,,,,-17.3,0,-19.5,0.2,-13.9,0,-5.6,0.2,-14.1,0.1,-9.5,0.2,-17,0.1,,,,
S2,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-15.7,-2.6,1.2,-4.6,0.6,5.4,0,-3.2,-12.7,0.1,-12.2,0,-15.5,0,,,,,,,-18.3,0.1,-20.3,0.1,-14.5,0.1,-5.7,0.1,-15.1,0,-10.3,1.2,-18.2,0.4,,,,
S3,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-16.48,-2.92,1.98,-5.22,0.88,5.28,0,-3.8,-13.9,0.2,-12.7,0.2,-15.9,0.1,-10.3,0.4,,,,,-19.4,0,-21.7,0,-14.5,0.1,-7.5,0.2,-15.6,0.3,-11.2,0.6,-18.6,0.1,,,,
S4,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-17.3,-2.8,2.4,-5.1,-0.3,5.8,0,-2.5,-14.4,0.2,-13.6,0.4,-16.4,0.1,-9.2,0.3,,,,,-20.1,0.1,-22.4,0.5,-14.9,0.1,-6.6,0.3,-17.6,0.1,-11.5,0.2,-18.8,0,,,,
S5,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-17.02,-2.48,1.92,-5.48,0.52,5.52,0,-3,-13.8,0.1,-14,0,-16.9,0.1,-9.1,0.3,,,,,-19.5,0,-22.5,0.1,-15.1,0.1,-5.7,0.6,-16.5,0.3,-11.5,0.3,-18.8,0,,,,
S6,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-17.74,-2.36,0.24,-3.66,0.74,5.04,0,-3.1,-12,0.2,-15.2,0.8,-15.2,0,-6.7,0.3,,,,,-20.1,0,-21.4,0.1,-17.5,0.1,-12.2,0.2,-17,0.1,-12.7,0.1,-17.1,0.2,,,,
S7,,Vascular_plant,Seagrasses,,,,Y,,,,Larsen et al. 2009,-18.9,-2.1,-0.9,-4.2,1.3,5.9,0,-3.4,-16.7,0.1,-17.7,0.9,-17.7,0.1,-9.3,0,,,,,-21,0.1,-23.1,0.2,-19.8,0.5,,,-17.6,0.1,-13,0.2,-19.3,0.1,,,,
T1,,Vascular_plant,C3_terrestrial_plant,"Silkeborg, DK",modern,,Y,N,Y,,Larsen et al. 2013,-32.56,-4.54,3.36,-5.84,0.06,6.96,0,-4.6,-27.2,0.2,-25.7,1.3,-29.4,0.1,-24.2,0.1,-24.9,0.2,,,-37.1,0.5,-38.4,0.2,-29.2,0.1,-15.7,0.3,-32.5,0.4,-25.6,0.2,-30.3,0.1,,,,
T2,,Vascular_plant,C3_terrestrial_plant,"Silkeborg, DK",modern,,Y,N,Y,,Larsen et al. 2013,-33.66,-2.44,2.96,-6.04,-0.24,5.76,0,-2.2,-24.6,0,-25.5,0,-29.1,0,-24.5,0,-32.4,0.8,,,-36.1,0.2,-39.7,0.4,-30.7,0.1,-16.1,2.3,-33.9,0.1,-27.9,0.1,-31.5,0,,,,
T3,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-27.9,-3.5,3.7,-6.5,0.9,5.4,0,-4.4,-25.1,0.1,-19.9,0.5,-23.7,0.1,-20.1,0.1,-21.5,0.6,,,-31.4,0.3,-34.4,0.2,-24.2,0.3,-12.6,0.3,-27,0.1,-22.5,0.1,-26,0.3,,,,
T4,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-29.74,-3.56,2.34,-5.56,0.94,5.84,0,-4.5,-27,0,-23,0.6,-26.5,0.1,-23.3,0.1,-26,0.3,-28.9,0.3,-33.3,0.1,-35.3,0.1,-27.4,0.5,-15.8,0.1,-28.8,0.1,-23.9,0.4,-28.6,0.1,,,,
T5,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-28.42,-3.18,1.62,-5.08,0.72,5.92,0,-3.9,-25.6,0,-22.7,0.1,-26,0.1,-18.7,0.1,-22.9,0.2,,,-31.6,0.1,-33.5,0.2,-26.8,0.4,-15.3,0.1,-27.7,0.1,-22.5,0.1,-26,0,,,,
T6,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-29.46,-2.54,2.36,-4.94,0.56,4.56,0,-3.1,-26.9,0,-22,0.1,-26.4,0.1,-19.3,0.2,-27.3,0.1,-25.6,0.4,-32,0.1,-34.4,0.1,-27.1,0.1,-9.9,0.7,-28.9,0.2,-24.9,0.1,-29.3,0,,,,
T7,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-29.1,-3.1,1.6,-4.5,0.4,5.6,0,-3.5,-27,0.1,-22,0.6,-25.7,0.1,-21.9,0.2,-27,0.3,-32.2,0.3,-32.2,0.1,-33.6,0.1,-27.5,0.2,-12.6,1,-28.7,0.1,-23.5,0.4,-28.3,0.1,,,,
T8,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-28.54,-2.06,3.34,-6.66,0.74,4.64,0,-2.8,-26.2,0.2,-19.1,0.1,-25.9,0,-20.2,0.1,-30.1,0.2,-33,0.3,-30.6,0.1,-35.2,0.1,-25.2,0.1,-8.6,0.5,-27.8,0.1,-23.9,0.1,-28.1,0.1,,,,
T9,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-29.8,-2.8,2,-5.6,0.9,5.5,0,-3.7,-26.7,0,-22.9,0.1,-26.8,0,-21.7,0.1,-25.1,0.7,-26.8,0.7,-32.6,0.1,-35.4,0.4,-27.8,0.1,-15.4,0.1,-28.9,0.1,-24.3,0.3,-29,0.1,,,,
T10,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-27.94,-2.56,2.84,-6.56,1.54,4.74,0,-4.1,-24.7,0.1,-19.4,0.7,-23.4,0,-19.4,0.4,-23.4,0.9,-28.6,0.2,-30.5,0.5,-34.5,0.4,-25.1,0.3,-11.5,0.1,-26.4,0.1,-23.2,0.4,-27,0.2,,,,
T11,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-27,-3,3.8,-6,0,5.2,0,-3,-25.2,0.4,-18.8,0.1,-23.6,0,-18.6,0.2,-25.4,,-24.5,,-30,0.2,-33,0.1,-23.2,0.1,-4.4,0.5,-27,0.1,-21.8,0.1,-27.3,0.1,,,,
T12,,Vascular_plant,C3_terrestrial_plant,"North Slope, AK",modern,,Y,N,Y,,Larsen et al. 2013,-30.88,-3.22,3.28,-6.32,0.98,5.28,0,-4.2,-27.3,0.1,-24.1,0,-26.1,0.1,-21.1,0.2,,,,,-34.1,0.2,-37.2,0.1,-27.6,0.1,-18.1,0.4,-29.9,0.1,-25.6,0.2,-28.7,0,,,,
,Calamagrostis purpurascens,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-32.64,-3.16,0.54,-5.96,1.64,6.94,0,-4.8,-31.8,,-24.8,,-28.9,,-25.7,,,,-35.6,,-35.8,0.1,-38.6,0.1,-32.1,0.1,-20.4,0.1,-31,0.1,-25.7,,,,-14.5,,-27.3,
,Capsicum annuum,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-34.74,-1.96,-0.36,-7.06,0.94,8.44,0,-2.9,-32.7,,-24.2,,-29.6,,-13.8,,,,-35.4,,-36.7,0.1,-41.8,0.1,-35.1,0.1,-17.4,0.1,-33.8,0.1,-26.3,,,,-21,,-28.7,
,Carex bigelowii,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-34.94,-2.76,1.04,-8.26,3.24,6.74,0,-6,-33.7,,-27,,-31.3,,-30.1,,,,-33.5,,-37.7,0.1,-43.2,0.1,-33.9,0.1,-17.9,0.1,-31.7,0.1,-28.2,,,,-24.7,,-29.6,
,Cucumis sativus,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-31.9,-3.7,1.3,-5.5,-1,8.9,0,-2.7,-27.8,,-21.6,,-27.1,,-24.6,,,,-35.2,,-35.6,0.1,-37.4,0.1,-30.6,0.1,-19.5,0.1,-32.9,0.1,-23,,,,-19.4,,-26,
,Helianthus annuus,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-33.06,-5.04,1.26,-6.54,2.86,7.46,0,-7.9,-31.5,,-24.9,,-28.4,,-22.7,,,,-38.9,,-38.1,0.1,-39.6,0.1,-31.8,0.1,-16.8,0.1,-30.2,0.1,-25.6,,,,-17.9,,-26.8,
,Origanum vulgare,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-33.22,-3.38,1.12,-5.48,0.72,7.02,0,-4.1,-32,,-25.1,,-29.1,,-27.9,,,,-35.9,,-36.6,0.1,-38.7,0.1,-32.1,0.1,-19.4,0.1,-32.5,0.1,-26.2,,,,-20.9,,-28.2,
,Solanum lycopersicum,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-32.64,-4.16,1.44,-6.66,0.04,9.34,0,-4.2,-32.5,,-21.4,,-26.5,,-14.8,,,,-32.1,,-36.8,0.1,-39.3,0.1,-31.2,0.1,-15,0.1,-32.6,0.1,-23.3,,,,-19.7,,-25.6,
,Vaccinium uliginosum,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-35.28,-4.02,0.08,-5.42,1.48,7.88,0,-5.5,-34.1,,-27.3,,-31.2,,-30.7,,,,-29.4,,-39.3,0.1,-40.7,0.1,-35.2,0.1,-22.5,0.1,-33.8,0.1,-27.4,,,,-23.1,,-34.8,
,Equisetum pratense,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-32.18,-3.82,1.08,-5.22,2.48,5.48,0,-6.3,-35.7,,-25.4,,-30.8,,-34.7,,,,-28.2,,-36,0.1,-37.4,0.1,-31.1,0.1,-19.7,0.1,-29.7,0.1,-26.7,,,,-21.9,,-28,
,Equisetum scirpoides,Vascular_plant,C3_terrestrial_plant,,,,Y,N,Y,,Larsen et al. 2009,-37.7,-3.6,1.9,-6.7,0.4,8,0,-4,-37.3,,-29.5,,-35.5,,-31.8,,,,-37.6,,-41.3,0.1,-44.4,0.1,-35.8,0.1,-22.8,0.1,-37.3,0.1,-29.7,,,,-23.4,,-38.5,
F1,,Fungi,,,,,Y,,,,Larsen et al. 2010,-26.76,1.66,3.36,-3.24,-0.54,-1.24,0,2.2,-21.2,0.1,-20.4,0.1,-20.9,0,-28.8,0.3,-22.1,0.3,-22,0.2,-25.1,0.1,-30,0.2,-23.4,0.1,-13.8,0.5,-27.3,0,-28,0.4,-27.1,0.1,,,,
F2,,Fungi,,,,,Y,,,,Larsen et al. 2011,-24.84,3.14,2.54,-2.36,-1.66,-1.66,0,4.8,-16,0.2,-19.7,0.6,-20.7,0,-22.8,0.1,-20.6,0.4,-24.5,0.3,-21.7,0.2,-27.2,0.1,-22.3,0.4,-11.9,0.5,-26.5,0,-26.5,0.2,-26.6,0.1,,,,
F3,,Fungi,,,,,Y,,,,Larsen et al. 2012,-27.96,1.86,3.16,-3.14,-2.24,0.36,0,4.1,-21.4,0.1,-22.3,0.1,-20.6,0.1,-25.7,0.1,,,-25.1,0.4,-26.1,0,-31.1,0.5,-24.8,0.1,-14.3,0.1,-30.2,0.4,-27.6,0.7,-28.8,0.1,,,,
F4,,Fungi,,,,,Y,,,,Larsen et al. 2013,-27.08,0.28,4.38,-2.42,-0.82,-1.42,0,1.1,-18.3,0,-21.9,0,-21.3,0.1,-23.2,0.6,-22.9,0.3,-25.2,0.6,-26.8,0.2,-29.5,0.1,-22.7,0.2,-12.2,0.1,-27.9,0,-28.5,0.1,-27.5,0.2,,,,
F8,,Fungi,,,,,Y,,,,Larsen et al. 2014,-10.28,1.58,4.28,-2.12,-3.02,-0.72,0,4.6,-6.4,0.1,-6.3,0.1,-4.1,0,-10.7,0.1,-7.1,0.4,-10.7,0.3,-8.7,0.1,-12.4,0.1,-6,0,-1.2,0.1,-13.3,0,-11,0.2,-13.9,0.1,,,,
F5,,Fungi,,,,,Y,,,,Larsen et al. 2015,-12.14,1.84,3.64,-2.56,-2.36,-0.56,0,4.2,-5.5,0.1,-6.6,0.8,-4.9,0.2,-8.7,0.1,-8.3,0.7,-10.3,0.2,-10.3,0.1,-14.7,0.5,-8.5,0.3,-1.9,0.8,-14.5,0.1,-12.7,0.2,-14.3,0.1,,,,
F6,,Fungi,,,,,Y,,,,Larsen et al. 2016,-12,3.7,3.8,-1.8,-3.3,-2.4,0,7,-5.2,0,-5.7,0.5,-3.9,0,-4.4,0.2,-10.8,0.3,-9.7,0.1,-8.3,0.3,-13.8,0.4,-8.2,0.4,-1.6,0.5,-15.3,0.1,-14.4,0.6,-15.1,0.1,,,,
F7,,Fungi,,,,,Y,,,,Larsen et al. 2017,-13.3,3.3,3.8,-4,-2.2,-0.9,0,5.5,-4.7,0.2,-4.5,0.1,-4.2,0.1,-8.1,0.1,-9.2,0.2,-12,0.5,-10,0.3,-17.3,0.3,-9.5,0.2,-3.3,0.1,-15.5,0.1,-14.2,0.2,-14.6,0.2,,,,
F9,,Fungi,,,,,Y,,,,Larsen et al. 2018,-13.24,1.74,3.94,-3.46,-2.06,-0.16,0,3.8,-6.2,0.1,-5.6,0.2,-4.3,0,-7.5,0.1,-6.7,0.3,-13.8,0.5,-11.5,0,-16.7,0.1,-9.3,0.1,-4.4,0,-15.3,0.1,-13.4,0.4,-15,0.1,,,,