Abbreviated reference,Habitat,Growing system,Vascularization,Group,Group1,Functional group,Class,Species,Category,ala_d15N,asx_d15N,glu_d15N,ile_d15N,leu_d15N,pro_d15N,val_d15N,gly_d15N,lys_d15N,phe_d15N,ser_d15N,met_d15N,thr_d15N,Beta_glx-phe
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Pseudo-nitzchia multiseries,phytoplankton,-14.5,-16,-17.4,-18.9,-16.3,-12.7,-19.5,-12.1,,-11,-12,na,-15.5,-6.4
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Skeletonema marinoi,phytoplankton,-16.1,-13,-11.8,-16.4,-17.9,-15.1,-12.6,-16.4,-20.5,-13.8,-20.5,na,-12.1,2
Décima et al. 2017,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Thalassiosira weissﬂogii,phytoplankton,8.6,na,5.6,na,na,na,na,na,,3.6,na,na,na,2
Hirahara et al. 2015,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Thalassiosira weissﬂogii,phytoplankton,na,na,0.3,na,na,na,na,na,,-3.7,na,na,na,4
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Raphidophytes,Raphidophyceae,not specified,phytoplankton,5,2.9,4.1,1.1,-3.2,2.5,5.4,-6.3,-1.5,2,1.9,na,0.9,2.1
"McClelland & Montoya, 2002",Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorodendrophyceae,Tetraselmis suecica,phytoplankton,0.5,-0.5,-0.4,-0.8,-0.4,0.1,1.8,-4.7,-1.1,-5.3,-7.8,na,-2.4,4.9
"McClelland & Montoya, 2002",Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorodendrophyceae,Tetraselmis suecica,phytoplankton,-1.6,-0.6,-0.1,-1.3,-1.5,-0.4,1,-4.4,-1.8,-4.3,-7.8,na,-2.3,4.2
Chikaraishi et al. 2009,Marine,Natural,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Raphidophyceae and Chlorophyceae,"Chlorella sp. Raphidonema nivale, and Chloromonas sp.",phytoplankton,13,na,13,13.2,na,12.2,14.4,4.3,,10.1,0.7,na,na,2.9
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,-3.9,na,-5.4,-3.9,-6.5,-5.6,-2.8,-5.5,,-7.3,-9.1,na,na,1.9
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,-4.2,na,-4.9,-3.8,-6.6,-4.5,-2.8,-4.8,,-7.4,-9.8,na,na,2.5
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella sp.,phytoplankton,2.9,na,4.6,3.8,5.9,5.5,5.8,-8.6,,0.1,-4.4,na,na,4.5
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella sp.,phytoplankton,6,na,5.1,4.2,5.5,7.5,7.3,5.4,,1.5,-4.8,na,na,3.6
Chikaraishi et al. 2010,Freshwater,Natural,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Volvox sp. Eudorina sp. Chlamydomonas sp.,phytoplankton,na,na,5.5,na,na,na,na,na,,2,na,na,na,3.5
Décima et al. 2017,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella tertiolecta,phytoplankton,1.1,na,9.4,na,na,na,na,na,,5.1,na,na,na,4.3
Downs et al. 2014,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,na,na,na,na,na,na,na,na,,,na,na,na,#VALUE!
Gutiérrez Rodríguez et al. 2014,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella tertiolecta,phytoplankton,-1.5,na,7.9,na,na,na,na,na,,3.9,na,na,na,4
Gutiérrez Rodríguez et al. 2014,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella tertiolecta,phytoplankton,-4.1,na,5.8,na,na,na,na,na,,0.6,na,na,na,5.2
Lee et al. 2020,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorodendrophyceae,Tetraselmis suecica,phytoplankton,-2.4,na,-0.1,na,na,-0.6,-0.9,-8.8,,-5.3,-11.6,na,na,5.2
Lee et al. 2020,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,-2.6,na,-2.4,na,na,-0.8,-1.4,-14.1,,-9.8,-15.4,na,na,7.4
Besser et al. 2022,Freshwater,Natural,Non-vascular,Microalgae,Phytoplankton,Green microalgae,not specified,not specified,phytoplankton,na,na,8.7,na,na,10.3,na,na,7.6,3.5,na,na,10.6,5.2
Lee et al. 2020,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Microalgae,Eustigmatophyceae,Nannochloropsis oculata,phytoplankton,-5,na,-1.9,na,na,-1.9,-3.3,-17.7,,-7.2,-17,na,na,5.3
Lee et al. 2020,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Microalgae,Coccolithophyceae,Isochrysis galbana,phytoplankton,-7.7,na,-5.3,na,na,-7.2,-4,-14.8,,-9.6,-13.7,na,na,4.3
Nakatomi et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Microalgae,Coccolithophyceae,Isochrysis galbana,phytoplankton,na,na,-1.4,na,na,na,na,na,,-2.7,na,na,na,1.3
Ohkouchi et al. 2015,Freshwater,Natural,Non-vascular,Microalgae,Phytoplankton,Microalgae,not specified,not specified,phytoplankton,na,na,4.4,na,na,na,na,na,,1,na,na,na,3.4
"Fogel & Tuross, 1999",Freshwater,Natural,Vascular,Vascular_plant,Aquatic plants,Macrophytes,Magnoliopsida,Nuphar sp.,C3_terrestrial_plant,na,1.2,4.4,na,1.3,3.5,5.7,-14.9,6.6,8.7,na,na,na,-4.3
Zhang et al. 2019,Freshwater,Natural,Vascular,Vascular_plant,Aquatic plants,Macrophytes,not specified,not specified,C3_terrestrial_plant,na,na,6.1,na,na,na,na,na,,14.5,na,na,na,-8.4
Zhang et al. 2019,Freshwater,Natural,Vascular,Vascular_plant,Aquatic plants,Macrophytes,not specified,not specified,C3_terrestrial_plant,na,na,10.4,na,na,na,na,na,,17.6,na,na,na,-7.2
Zhang et al. 2021,Freshwater,Natural,Vascular,Vascular_plant,Aquatic plants,Macrophytes,not specified,not specified,C3_terrestrial_plant,na,na,8.3,na,na,na,na,na,,16.1,na,na,na,-7.8
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Salt marsh plants,Magnoliopsida,Halimione portulacoides,C3_terrestrial_plant,12.6,na,11.7,na,5.4,15.8,na,3.7,5.6,,na,na,na,11.7
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Salt marsh plants,Magnoliopsida,Halimione portulacoides,C3_terrestrial_plant,12.1,na,15,na,7,17.9,na,4.9,7.6,,na,na,na,15
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Salt marsh plants,Liliopsida,Triglochin maritimum,C3_terrestrial_plant,14.7,12.3,11.8,9.2,7.2,15.1,11.1,8.2,11.4,17.3,5.4,na,9.3,-5.5
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Salt marsh plants,Liliopsida,Triglochin maritimum,C3_terrestrial_plant,12.4,13.6,14.2,9.7,7.7,14.3,12.7,3,11.6,17.9,4.5,9.9,10.3,-3.7
Choi et al. 2017,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Liliopsida,Zostera marina,C3_terrestrial_plant,na,na,1.6,na,na,na,na,na,,9.5,na,na,na,-7.9
Vander Zanden et al. 2013,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Magnoliopsida,Thalassia testudinum,C3_terrestrial_plant,na,3.9,2.6,na,-0.1,na,na,-5.1,-0.9,9.2,-3.8,na,na,-6.6
Vander Zanden et al. 2013,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Magnoliopsida,Thalassia testudinum,C3_terrestrial_plant,3.8,4.7,4.7,0.3,1.5,na,6.4,-2.9,,13,-3.6,na,-0.8,-8.3
Vander Zanden et al. 2013,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Magnoliopsida,Thalassia testudinum,C3_terrestrial_plant,5.7,6.5,4.7,5.2,3.2,na,7.3,-1.5,3,13.4,0.3,na,4.6,-8.7
Vander Zanden et al. 2013,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Magnoliopsida,Thalassia testudinum,C3_terrestrial_plant,na,6.2,5.5,na,3.3,na,na,na,,12.9,-1.2,na,3.5,-7.4
Vander Zanden et al. 2013,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Magnoliopsida,Thalassia testudinum,C3_terrestrial_plant,4.3,4.9,4,2.3,2.5,na,5.2,-0.3,3,12.7,-2.1,na,2.6,-8.7
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Liliopsida,Zostera marina,C3_terrestrial_plant,7.1,8.5,9.4,4.9,4.5,12.1,8.4,1.3,5.9,18.1,-3.3,7.6,9.5,-8.7
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Liliopsida,Zostera marina,C3_terrestrial_plant,7.7,8.5,8.1,na,5,11.6,5.1,1.8,2,15.5,3.6,na,5.8,-7.4
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Liliopsida,Zostera noltei,C3_terrestrial_plant,7.9,8.1,11.5,4.1,5.4,12.2,10.1,3.3,5.8,,2.2,na,8.4,11.5
García-Seoane et al. 2022,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Seagrasses,Liliopsida,Zostera noltei,C3_terrestrial_plant,8.7,9.3,10.3,3.9,3.9,13,9,3.3,6.2,,3.7,na,7,10.3
Smallwood et al. 2003,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Mangroves,Magnoliopsida,Rhizophora mangle,C3_terrestrial_plant,na,-1.1,-1.5,-2.6,-3.3,2,-5.8,na,,9.4,na,na,na,-10.9
Smallwood et al. 2003,Marine,Natural,Vascular,Vascular_plant,Aquatic plants,Mangroves,Magnoliopsida,Rhizophora mangle,C3_terrestrial_plant,na,-5.1,-3.3,-9.3,-9.7,-3.8,-2.3,na,,4.3,na,na,na,-7.6
Bol et al. 2002,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,0.7,na,1.2,8.6,-2.9,2.8,-0.6,-4.5,-1.2,2,-5.4,na,-2.8,-0.8
Bol et al. 2002,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Lolium perenne,C3_terrestrial_plant,-2.5,-1.6,-1.7,8,-5.4,na,-1.7,-8,-4.7,5.8,-8.7,na,-6.4,-7.5
Bol et al. 2002,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Juncus effusus,C3_terrestrial_plant,2,1.8,2.8,4,-0.8,3.3,-0.4,-4,-1.5,8,-4,na,-1.2,-5.2
Bol et al. 2002,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Juncus effusus,C3_terrestrial_plant,4,1.4,-1.3,5.8,-0.8,2.4,na,-0.5,0.6,-12.6,-5,na,-2.4,11.3
Bol et al. 2002,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Bryopsida,Brachythecium rutabulum,C3_terrestrial_plant,-1.6,-1.2,-1,8,-3.3,3,-1.3,-10,-1.5,-1.5,-9.3,na,-5.9,0.5
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,2.3,na,4.6,-0.9,-4.5,4.6,3.8,6.2,,5.9,na,na,2.9,-1.3
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,2.7,na,4.9,-0.2,-1.9,9.5,3.3,4.1,,7.9,na,na,2.5,-3
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-2.2,na,1.4,-4.8,-6.9,5.7,-1.6,1.9,,4,na,na,-3,-2.6
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-1.3,na,3.2,-3.8,-4.4,3.5,-0.3,2.2,,6.3,na,na,-1.9,-3.1
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-0.5,na,2,-2.3,-3.9,2.4,0.3,1.9,,5.1,na,na,-1.4,-3.1
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,6.9,na,10.5,6.3,5.8,13,8.1,8.8,,12.1,na,na,11.1,-1.6
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,6.1,na,9.7,4.5,3.9,8.6,6.1,8.7,,13.1,na,na,4.5,-3.4
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,8.2,na,11.6,7.3,7.1,12.1,8.9,8.3,,14.7,na,na,6.1,-3.1
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-1.2,na,1.1,-4.9,-4.4,2.8,-1.6,0.5,,4.8,na,na,-6.6,-3.7
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,0,na,2.9,-3.8,-3.2,3.5,0.1,2.6,,4.3,na,na,-0.8,-1.4
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-2.2,na,2.6,-3.6,-3.1,1.5,-0.9,0.2,,4.8,na,na,-6.2,-2.2
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-1.4,na,2.9,-2.3,-2.2,5.7,0.5,-0.2,,4.6,na,na,-2.1,-1.7
Bontempo et al. 2020,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,-0.4,na,3.3,-2,-1.5,6.2,-0.6,1.8,,4.7,na,na,1,-1.4
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Brassica oleracea,C3_terrestrial_plant,1.7,na,2.6,3.4,0.7,4.6,3.7,-7,,9.8,2.1,na,na,-7.2
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Brassica oleracea,C3_terrestrial_plant,4.3,na,3.4,-0.8,-1.2,6.3,3.4,-8,,11.7,-5.5,na,na,-8.3
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Daucus carota,C3_terrestrial_plant,8.3,na,8.2,7.3,4.6,7.2,8,-2.2,,15.7,na,na,na,-7.5
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Castanea crenata,C3_terrestrial_plant,0.7,na,2.9,-0.7,-2.4,6.2,0.2,-9.8,,8.8,na,na,na,-5.9
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Citrus unshiu,C3_terrestrial_plant,6.4,na,2.8,3,3.1,8.9,4.7,-6.8,,12.4,-0.6,na,na,-9.6
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Raphanus sativus,C3_terrestrial_plant,-3.6,na,-2.6,-4.3,-3.8,3.3,-2.9,-8.4,,5.9,-4.9,na,na,-8.5
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum lycopersicum,C3_terrestrial_plant,6.2,na,2,1.3,2.9,8.6,2,-3.6,,10.3,-4,na,na,-8.3
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum melongena,C3_terrestrial_plant,5.6,na,7.2,-0.2,1.3,15.1,6.8,-4.6,,17,5.1,na,na,-9.8
Chikaraishi et al. 2011,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum tuberosum,C3_terrestrial_plant,-2.4,na,-6.3,-3.5,-5.7,-2,-2,-12.1,,4.1,na,na,na,-10.4
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Acer argutum,C3_terrestrial_plant,-2.1,na,1,na,2.6,5,-2.2,-12.9,,6.2,-7.7,na,na,-5.2
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Acer argutum,C3_terrestrial_plant,-1.7,na,-0.5,-6.6,-5.1,5.4,-4.9,-13.4,,8.5,-9.4,-11.7,na,-9
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Acer carpinifolium,C3_terrestrial_plant,0,na,0.8,-4.4,-2.1,3,-1.2,-12.4,,8.6,-4.5,-11.6,na,-7.8
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Acer carpinifolium,C3_terrestrial_plant,-3.4,na,-0.6,na,-6.4,5.8,na,-12.6,,7.3,-12.4,-12.3,na,-7.9
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Artemisia princeps,C3_terrestrial_plant,5.9,na,8.7,3.2,0.1,10.2,6.9,-4.1,,18.7,-5.5,-3.7,na,-10
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Benthamidia japonica,C3_terrestrial_plant,-0.7,na,1.2,-3.8,-2.4,1.5,-0.7,-10.8,,9,-4.7,-12,na,-7.8
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Benthamidia japonica,C3_terrestrial_plant,-0.4,na,-0.4,0.3,-0.9,4.9,-0.6,-16.2,,9.5,-10,na,na,-9.9
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Brassica oleracea,C3_terrestrial_plant,0.2,na,5.7,3.9,3.8,9.5,5.1,-6.7,,13.1,1,0.8,na,-7.4
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Castanea crenata,C3_terrestrial_plant,-2.1,na,1.5,1.6,0.5,4.6,-0.3,-12.7,,10.1,-4.2,na,na,-8.6
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Castanea crenata,C3_terrestrial_plant,na,na,0.8,na,0.1,2.9,na,-14.8,,8.3,-7.2,na,na,-7.5
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida,Oryza sativa,C3_terrestrial_plant,-10.7,na,-9.9,-11.9,-11.1,-1.7,na,-9.6,,-1,-5.6,na,na,-8.9
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Plantago asiatica,C3_terrestrial_plant,5.2,na,2.6,0,-2.2,1.9,2,-10.3,,11.1,-8.7,-7.3,na,-8.5
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Prunus jamasakura,C3_terrestrial_plant,7.9,na,9.1,7.3,5.1,12,8.1,-2.4,,16.3,-4.4,-10.3,na,-7.2
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Quercus acutissima,C3_terrestrial_plant,5,na,4.5,2,0.4,8.4,4.4,1.8,,14,-2.2,na,na,-9.5
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Quercus dentata,C3_terrestrial_plant,-3,na,-2.5,-5.9,-7.5,0.1,-1.8,-8,,4.9,-9.2,na,na,-7.4
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Quercus mongolica,C3_terrestrial_plant,na,na,9.7,0.4,4.6,11.2,na,-2.1,,17,1.2,-0.3,na,-7.3
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Taraxacum officinale,C3_terrestrial_plant,2.6,na,1.4,-1.3,-4.9,12.1,2.6,-6.3,,13.5,-8.5,-5.1,na,-12.1
