Abbreviated reference,Habitat,Growing system,Vascularization,Group,Group1,Functional group,Class,Species,Category,ala_d15N,asx_d15N,glu_d15N,ile_d15N,leu_d15N,pro_d15N,val_d15N,gly_d15N,lys_d15N,phe_d15N,ser_d15N,met_d15N,thr_d15N,Beta_glx-phe
Styring et al. 2014,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Pisum sativum,C3_terrestrial_plant,-0.4,1,0.7,na,-4.8,3.6,0.4,6.5,,-0.5,0.5,na,na,1.2
Styring et al. 2014,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Pisum sativum,C3_terrestrial_plant,0.2,2.3,0.9,na,-2.8,3.8,0.6,7.3,,0.3,0.8,na,na,0.6
"Takizawa & Chikaraishi, 2014",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Ipomoea batatas,C3_terrestrial_plant,na,na,-0.4,na,na,na,na,na,,5.2,na,na,na,-5.6
"Takizawa & Chikaraishi, 2014",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Ipomoea batatas,C3_terrestrial_plant,na,na,6.5,na,na,na,na,na,,5.8,na,na,na,0.7
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-1.8,na,1.2,-2.9,-7,na,-0.3,-14.1,,0.3,na,na,na,0.9
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-5.6,na,-1.3,-1.2,-7.7,na,-5.6,-12.6,,-1.8,na,na,na,0.5
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-3.1,na,-0.6,-5.8,-4.2,7.2,-0.4,-12.8,,6.7,na,na,na,-7.3
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,1.4,na,2.3,2.1,-2,1,-1.8,-15.8,,11.7,na,na,na,-9.4
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-0.7,na,-1.4,-1.3,-3.7,-1.9,-2.2,-13.4,,7.7,na,na,na,-9.1
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-1.2,na,3,0.1,-4,-0.1,2.3,-6.9,,10.1,na,na,na,-7.1
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-5,na,-4.3,-4.8,-6.4,na,-1.2,-13.6,,4.5,na,na,na,-8.8
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-6,na,-5.9,-7.3,-7.6,na,-2.9,-15.4,,1.9,na,na,na,-7.8
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,1,na,2.8,1.9,-1.3,9.9,2,-2.4,,6,na,na,na,-3.2
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-0.4,na,2.4,0.8,-2,6.1,0.9,-3,,7.5,na,na,na,-5.1
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-1.3,na,1.9,0.6,-1.9,2.8,0.6,-4.8,,8.5,na,na,na,-6.6
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-2.2,na,2.2,1,-2.7,3.2,2.3,-7.2,,9.6,na,na,na,-7.4
"Takizawa & Chikaraishi, 2017",Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-1.7,na,2,0.6,-1.3,2.9,0.7,-6.2,,9.5,na,na,na,-7.5
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Amygdalus persica,C3_terrestrial_plant,-13.1,na,-13,na,-13.1,na,-14.2,-16.7,,-5.1,na,na,na,-7.9
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-3.1,na,-0.7,-5.7,-4.2,7.3,-0.1,-13,,6.9,na,na,na,-7.6
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus pseudocerasus,C3_terrestrial_plant,-4.5,na,-2.1,-4.4,-5.7,-0.2,-3.5,-17.4,,6.3,-14.2,na,na,-8.4
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Prunus mume,C3_terrestrial_plant,3.5,na,2.8,1.3,0.6,4.8,7.6,-12.8,,11,na,na,na,-8.2
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Wisteria floribunda,C3_terrestrial_plant,2.1,na,5.1,na,na,na,3.8,1.1,,13.3,na,na,na,-8.2
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Amygdalus persica,C3_terrestrial_plant,-6.6,na,-5.8,na,na,na,-6.3,-15.2,,-4,-10,na,na,-1.8
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus lannesiana,C3_terrestrial_plant,-1.7,na,1.4,-2.8,-7,na,-0.3,-14.4,,0.6,na,na,na,0.8
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cerasus pseudocerasus,C3_terrestrial_plant,-3.3,na,5.2,-0.4,-1.2,2,2.7,-7,,1.8,na,na,na,3.4
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Prunus mume,C3_terrestrial_plant,-2,na,7.3,na,na,na,0.5,-8.2,,5.8,na,na,na,1.5
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Wisteria floribunda,C3_terrestrial_plant,-3.4,na,0.2,-3.3,-9.1,na,-4,-14.3,,-0.5,-15.3,na,na,0.7
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Akebia quinata,C3_terrestrial_plant,-16.4,na,-18.7,na,-17.5,na,-20.2,-25.6,,-10,na,na,na,-8.7
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Benthamidia japonica,C3_terrestrial_plant,-12.1,na,-12.4,na,-10,na,-10.4,-22.9,,-4.1,na,na,na,-8.3
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cucumis sativus,C3_terrestrial_plant,-1.3,na,0.3,-2.7,-2.3,na,-2.1,-15.7,,8.9,na,na,na,-8.6
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Hydrangea macrophylla,C3_terrestrial_plant,-3.7,na,-0.9,-1.7,-0.7,-0.9,-2.1,-12.6,,7.3,-11,na,na,-8.2
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum melongena,C3_terrestrial_plant,-0.2,na,2.4,2.5,0.6,na,0.5,-18.4,,11.8,na,na,na,-9.4
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Akebia quinata,C3_terrestrial_plant,na,na,-16.6,na,-16.8,na,na,-24.9,,-7.2,na,na,na,-9.4
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Benthamidia japonica,C3_terrestrial_plant,-14.9,na,-13.2,na,na,na,-9.7,-30.8,,-4.9,na,na,na,-8.3
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Cucumis sativus,C3_terrestrial_plant,-1.1,na,0.5,-1.6,-1.2,na,-0.9,-16.6,,8.6,na,na,na,-8.1
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Hydrangea macrophylla,C3_terrestrial_plant,-3.1,na,0.1,-0.5,-1,1,-1.4,-11.3,,8.3,na,na,na,-8.2
Takizawa et al. 2017,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Solanum melongena,C3_terrestrial_plant,-2.2,na,-1,-7.1,-4.5,na,-2.2,-14.9,,7,na,na,na,-8
Yamanaka et al. 2015,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Zelkova serrata,C3_terrestrial_plant,1.8,na,0.3,2.2,5.1,na,-0.4,0.4,,7.7,na,na,na,-7.4
Yamanaka et al. 2015,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Zelkova serrata,C3_terrestrial_plant,0.3,na,0.3,3.5,1.9,na,0.6,0.5,,8.1,na,na,na,-7.8
Yamanaka et al. 2015,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Zelkova serrata,C3_terrestrial_plant,1.4,na,0.8,0.5,2.7,na,0.6,0.7,,8.1,na,na,na,-7.3
Yoneyama et al. 1998,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Pisum sativum,C3_terrestrial_plant,na,4,-3.1,na,na,na,4.4,na,,,na,na,-3.2,-3.1
Yoneyama et al. 1998,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Pisum sativum,C3_terrestrial_plant,na,2.6,-1.2,na,na,-1.6,na,na,,,na,na,0.9,-1.2
Yoneyama et al. 1998,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Vicia faba,C3_terrestrial_plant,na,2.1,0.6,na,na,-1.8,3.2,na,,,na,na,na,0.6
Yoneyama et al. 1998,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Sesbania rostrata,C3_terrestrial_plant,na,-2.1,-2,na,na,1.6,na,na,,,na,na,1.9,-2
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Brassica campestris,C3_terrestrial_plant,na,-1.3,-2.4,na,na,-1.9,-0.9,na,,-8.2,na,na,-2.3,5.8
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Brassica campestris,C3_terrestrial_plant,na,-1.1,-1.5,na,na,-5.1,-1.8,na,,,na,na,-1.6,-1.5
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Spinacia oleracea,C3_terrestrial_plant,na,3.8,2.7,na,na,1.6,2.5,na,,-2.8,na,na,2.3,5.5
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Spinacia oleracea,C3_terrestrial_plant,na,2.9,1.9,na,na,-1.4,1.2,na,,-3.4,na,na,1.4,5.3
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Gycine max,C3_terrestrial_plant,na,2.8,-0.5,na,na,-3.5,na,na,,-3.8,na,na,na,3.3
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Gycine max,C3_terrestrial_plant,na,1.3,1,na,na,-2.9,3.1,na,,,na,na,1.5,1
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Gycine max,C3_terrestrial_plant,na,3.7,-1.2,na,na,-3,-1.1,na,,-3.1,na,na,na,1.9
"Yoneyama & Tanaka, 1999",Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Gycine max,C3_terrestrial_plant,na,1.2,2.5,na,na,-2.1,-2.9,na,,1.3,na,na,1.7,1.2
Zhang et al. 2019,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida and Equisetopsida,Phragmites australis and Artemisia igniaria,C3_terrestrial_plant,na,na,1.8,na,na,na,na,na,,10.2,na,na,na,-8.4
Zhang et al. 2021,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Liliopsida and Equisetopsida,Phragmites australisand Artemisia igniaria,C3_terrestrial_plant,na,na,2.3,na,na,na,na,na,,10.5,na,na,na,-8.2
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Larrea tridentata,C3_terrestrial_plant,na,na,4.9,na,na,8.1,na,na,7.5,10.1,na,na,-0.3,-5.2
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Sphaeralcea sp.,C3_terrestrial_plant,na,na,8,na,na,9.4,na,na,3.7,12.6,na,na,-0.5,-4.6
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C3 plants,Magnoliopsida,Krascheninnikovia lanata,C3_terrestrial_plant,na,na,13.7,na,na,14.9,na,na,8.9,21.6,na,na,3.7,-7.9
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Miscanthus sinensis,C4_terrestrial_plant,-10,na,-6.3,-11.4,-14.2,-4.4,na,-9.5,,-6.9,na,na,na,0.6
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Saccharum officinarum,C4_terrestrial_plant,-6.6,na,-1.1,na,-9.3,-0.9,na,-5.8,,-2.2,-4.8,na,na,1.1
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Saccharum officinarum,C4_terrestrial_plant,7.9,na,8,6.8,6.1,10,11.5,6.8,,7.3,4.2,-0.2,na,0.7
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Sorghum bicolor,C4_terrestrial_plant,11.1,na,11.9,7.8,9.8,13.3,12,9.1,,14.7,1,11.5,na,-2.8
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Zea mays,C4_terrestrial_plant,na,na,6.9,na,1.3,3.8,na,1.1,,4,-0.7,-4.7,na,2.9
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Zea mays,C4_terrestrial_plant,na,na,5.3,na,0,3.6,na,na,,4.9,-12.5,5.3,na,0.4
Chikaraishi et al. 2010,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Zoysia japonica,C4_terrestrial_plant,1.9,na,6.4,3,2.2,6.7,na,1.9,,6.1,1.9,-0.4,na,0.3
Ostle et al. 1999,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Zea mays,C4_terrestrial_plant,-1,-0.5,0.9,8,-3.8,2,-2.6,0.9,-2.7,6.4,-3.2,na,-2.3,-5.5
Ostle et al. 1999,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Zea mays,C4_terrestrial_plant,0.1,1.1,2,9.2,-1.3,4.3,-1.7,-2,-2.4,3.3,-1.1,na,-4.3,-1.3
Hare et al. 1991,Terrestrial,Experimental culture,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Zea mays,C4_terrestrial_plant,2.5,3.4,1.1,na,na,4.6,5.6,3.6,,,2.1,na,-0.1,1.1
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Bouteloua eriopoda,C4_terrestrial_plant,na,na,5.1,na,na,6,na,na,2.6,9.8,na,na,-0.9,-4.7
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Liliopsida,Muhlenbergia sp.,C4_terrestrial_plant,na,na,5.7,na,na,6,na,na,3.5,11.1,na,na,0.6,-5.4
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,C4 plants,Magnoliopsida,Euphorbiaceae,C4_terrestrial_plant,na,na,11.8,na,na,11.3,na,na,7.7,16.8,na,na,3,-5
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,CAM plants,Magnoliopsida,Cylindropuntia sp.,CAM_terrestrial_plant,na,na,3,na,na,8.5,na,na,1.1,7.5,na,na,-5.1,-4.5
Besser et al. 2022,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,CAM plants,Magnoliopsida,Opuntia sp.,CAM_terrestrial_plant,na,na,6.3,na,na,8.3,na,na,3.6,12.7,na,na,-0.1,-6.4
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2.7,na,na,na,na,na,,16.2,na,na,na,-13.5
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1.2,na,na,na,na,na,,14.6,na,na,na,-13.4
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1.2,na,na,na,na,na,,15.1,na,na,na,-13.9
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,5.4,na,na,na,na,na,,19.7,na,na,na,-14.3
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,4.3,na,na,na,na,na,,17.6,na,na,na,-13.3
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2.7,na,na,na,na,na,,13.4,na,na,na,-10.7
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1.7,na,na,na,na,na,,14.7,na,na,na,-13
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2.7,na,na,na,na,na,,16.9,na,na,na,-14.2
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,3.1,na,na,na,na,na,,14.3,na,na,na,-11.2
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1.7,na,na,na,na,na,,15.8,na,na,na,-14.1
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2,na,na,na,na,na,,14.8,na,na,na,-12.8
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2.3,na,na,na,na,na,,14.2,na,na,na,-11.9
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1,na,na,na,na,na,,13.2,na,na,na,-12.2
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1.1,na,na,na,na,na,,12.2,na,na,na,-11.1
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2.1,na,na,na,na,na,,14.8,na,na,na,-12.7
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,1.6,na,na,na,na,na,,13.7,na,na,na,-12.1
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2.6,na,na,na,na,na,,13.5,na,na,na,-10.9
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,0.5,na,na,na,na,na,,11.5,na,na,na,-11
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,0.3,na,na,na,na,na,,15.9,na,na,na,-15.6
Pollierer et al. 2020,Terrestrial,Natural,Vascular,Vascular_plant,Terrestrial plants,not specified,not specified,not specified,,na,na,2,na,na,na,na,na,,13.4,na,na,na,-11.4